,state_id,county_name
1272,29,White
1273,15,Cumberland
1274,2,Dakota
1275,0,Eagle
1276,14,Newport
1277,3,Vermilion
1278,36,Leon
1279,26,Presidio
1280,0,Jefferson
1281,17,Benton
1282,43,Crittenden
1283,1,Logan
1284,41,Frederick
1285,4,Waushara
1286,18,Mercer
1287,32,White
1288,34,Allen
1289,36,Lake
1290,26,Uvalde
1291,11,San Miguel
1292,26,Atascosa
1293,27,Tift
1294,31,Ogle
1295,12,Duplin
1296,15,Suffolk
1297,4,Marathon
1298,16,New London
1299,1,Tillman
1300,26,Crockett
1301,26,Matagorda
1302,3,Pointe Coupee
1303,0,Delta
1304,17,Lincoln
1305,4,Vernon
1306,40,Androscoggin
1307,10,Stone
1308,36,Manatee
1309,14,Kent
1310,6,Van Buren
1311,12,Cleveland
1312,40,Oxford
1313,4,Iowa
1314,27,Coffee
1315,6,Mecosta
1316,21,Wayne
1317,35,Davis
1318,13,Fairfield
1319,31,Carroll
1320,27,Colquitt
1321,0,Garfield County
1322,15,Mecklenburg
1323,12,Gaston
1324,43,Fayette
1325,2,Grant
1326,11,Lincoln
1327,45,Gallatin
1328,31,Wayne
1329,36,Charlotte
1330,43,Henderson
1331,37,Greenbrier
1332,13,York
1333,12,Burke
1334,26,Waller
1335,19,Kings
1336,26,Stephens
1337,14,Providence
1338,26,Coryell
1339,37,Monongalia
1340,21,Hancock
1341,17,Washington
1342,5,Boundary
1343,0,Washington
1344,6,Ionia
1345,31,Grundy
1346,21,Ashtabula
1347,15,Hampton
1348,1,Woods
1349,7,Barber
1350,12,Pitt
1351,12,Currituck
1352,38,Rankin
1353,7,Douglas
1354,21,Union
1355,3,Beauregard
1356,12,Watauga
1357,17,Baker
1358,28,Thayer
1359,10,Greene
1360,15,Sussex
1361,31,Stephenson
1362,27,Taylor
1363,6,Crawford
1364,1,Garvin
1365,12,Buncombe
1366,37,Wyoming
1367,21,Tuscarawas
1368,24,Eureka
1369,26,Angelina
1370,4,Dane
1371,26,Jasper
1372,0,Arapahoe
1373,25,Jasper
1374,25,Decatur
1375,22,Davison
1376,27,Spalding
1377,28,Dodge
1378,43,Harlan
1379,33,Lewis
1380,3,Lafayette
1381,39,Luzerne
1382,21,Clark
1383,35,Utah
1384,0,La Plata
1385,30,Colbert
1386,26,Calhoun
1387,44,Addison
1388,20,Albany
1389,12,Mecklenburg
1390,25,Mahaska
1391,7,Riley
1392,7,Russell
1393,25,Washington
1394,26,Kleberg
1395,31,Marshall
1396,25,Clinton
1397,5,Nez Perce
1398,36,St. Johns
1399,45,Flathead
1400,2,Sherburne
1401,2,Dodge
1402,21,Clermont
1403,22,Yankton
1404,38,Hinds
1405,23,Cochise County
1406,3,Lincoln
1407,26,Liberty
1408,25,Hancock
1409,39,Delaware
1410,32,Crittenden
1411,6,Wexford
1412,26,Victoria County
1413,32,Craighead
1414,45,Fergus
1415,4,Portage
1416,37,Randolph
1417,21,Trumbull
1418,26,Fort Bend
1419,27,Stephens
1420,25,Clarke
1421,12,Catawba
1422,45,Missoula
1423,27,Troup
1424,3,St. Landry
1425,36,Hernando
1426,6,St. Clair
1427,27,Evans
1428,31,Madison
1429,13,Lexington
1430,24,Elko
1431,26,Kimble
1432,30,Pike
1433,36,Pasco
1434,7,Graham
1435,38,Oktibbeha
1436,37,Raleigh
1437,27,Upson
1438,22,Haakon
1439,26,Montgomery
1440,25,Black Hawk
1441,2,Morrison
1442,37,Ohio
1443,21,Lucas
1444,43,Wayne
1445,0,Moffat
1446,25,Kossuth
1447,26,Wood
1448,21,Muskingum
1449,10,Buchanan
1450,20,Niagara
1451,45,Lewis and Clark
1452,28,Dawson
1453,4,Brown
1454,32,Union
1455,27,Toombs
1456,10,Callaway
1457,0,Logan
1458,35,Uintah
1459,20,Chemung
1460,8,Goshen
1461,33,Kittitas
1462,3,St. Mary
1463,7,Pratt
1464,26,Hale
1465,26,Aransas
1466,2,Roseau
1467,26,Young
1468,18,McKenzie
1469,18,Griggs
1470,17,Tillamook
1471,26,Sutton
